"train_start","train_end","test_start","test_end","model_name","params","metric","threshold","metric_value"
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 10}","recall",20,0.3201138519924099
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 10}","f1",20,0.36424484508258664
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 10}","roc_auc",20,0.6563864876735221
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 10}","accuracy",30,0.6768830128205128
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 10}","precision",30,0.4013355592654424
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 10}","recall",30,0.45616698292220115
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 10}","f1",30,0.4269982238010657
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 10}","roc_auc",30,0.6563864876735221
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 10}","accuracy",50,0.592948717948718
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 10}","precision",50,0.3568709935897436
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 10}","recall",50,0.676091081593928
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 10}","f1",50,0.4671561557624229
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 10}","roc_auc",50,0.6563864876735221
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","accuracy",1,0.7356270032051282
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","precision",1,0.47738693467336685
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","recall",1,0.018026565464895637
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","f1",1,0.03474126897056135
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","roc_auc",1,0.6662579594275435
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","accuracy",2,0.7351262019230769
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","precision",2,0.47619047619047616
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","recall",2,0.036053130929791274
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","f1",2,0.06703122243781974
"2012-01-01 00:00:00","2013-05-02 00:00:00","2013-07-01 00:00:00","2014-01-01 00:00:00","sklearn.ensemble.BaggingClassifier","{""n_jobs"": -1, ""warm_start"": true, ""n_estimators"": 20}","roc_auc",2,0.6662579594275435
